Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,AUT,68.5856097561,69.5773170732,69.3095121951,69.4436585366,69.9219512195,69.722195122,70.0458536585,69.917804878,70.0575609756,69.8331707317,69.8907317073,70.0692682927,70.4136585366,70.9792682927,70.9624390244,71.0841463415,71.5512195122,71.8953658537,71.9670731707,72.2873170732,72.4236585366,72.7580487805,72.8970731707,72.9685365854,73.5275609756,73.7451219512,74.2229268293,74.6692682927,75.1441463415,75.2480487805,75.53,75.567804878,75.8553658537,76.1063414634,76.4570731707,76.7156097561,76.9836585366,77.3875609756,77.5731707317,77.7756097561,78.0268292683,78.5268292683,78.6780487805,78.6317073171,79.1804878049,79.3317073171,79.8317073171,79.9829268293,80.2341463415,80.0829268293,80.3829268293,81.0317073171
Azerbaijan,AZE,60.8362439024,61.2391707317,61.6445853659,62.052,62.4574146341,62.8618292683,63.2672682927,63.6687317073,64.0567073171,64.4186829268,64.7346097561,64.9814390244,65.1481219512,65.2341707317,65.2435853659,65.1874390244,65.0822926829,64.9532195122,64.8287560976,64.7279512195,64.6813170732,64.7164390244,64.8307317073,65.008097561,65.225902439,65.4277804878,65.5413414634,65.5259268293,65.3691463415,65.0892682927,64.7463658537,64.4241463415,64.2072439024,64.1540243902,64.2815853659,64.5758292683,64.994,65.4623902439,65.9233658537,66.3554878049,66.7582439024,67.1502926829,67.5610731707,68.0036829268,68.470195122,68.9372682927,69.3747317073,69.756,70.0629268293,70.2926585366,70.4502926829,70.5512926829
Burundi,BDI,41.2360487805,41.5454634146,41.8603902439,42.177804878,42.4922195122,42.7901463415,43.0550731707,43.2800243902,43.4679756098,43.6274390244,43.7819268293,43.9599268293,44.1854634146,44.4719756098,44.8194878049,45.2214146341,45.6597317073,46.105902439,46.5349268293,46.9313414634,47.2916585366,47.6244634146,47.934804878,48.2192682927,48.459902439,48.6137804878,48.6289512195,48.4873902439,48.1965853659,47.7885121951,47.3291463415,46.9014878049,46.5804390244,46.4174390244,46.4309268293,46.6072926829,46.9035121951,47.2505121951,47.592804878,47.912804878,48.2080243902,48.4949268293,48.8035609756,49.1569512195,49.558097561,50.007,50.4996097561,51.0214634146,51.5565853659,52.0940731707,52.6240243902,53.1365609756
Belgium,BEL,69.7019512195,70.5209756098,70.2195121951,70.0514634146,70.7551219512,70.6253658537,70.7063414634,71.0129268293,70.6931707317,70.7648780488,70.9719512195,71.0604878049,71.4051219512,71.6353658537,71.9858536585,71.9712195122,72.1197560976,72.773902439,72.6980487805,73.1936585366,73.2070731707,73.6217073171,73.8880487805,73.8690243902,74.4048780488,74.5202439024,74.7317073171,75.3658536585,75.5658536585,75.6326829268,76.0519512195,76.192195122,76.3512195122,76.3453658537,76.6917073171,76.8407317073,77.1873170732,77.3707317073,77.4731707317,77.6195121951,77.7219512195,77.9731707317,78.0756097561,78.1292682927,78.8780487805,78.9804878049,79.3804878049,79.7829268293,79.6804878049,79.9829268293,80.2341463415,80.4853658537
Benin,BEN,37.2782682927,37.731195122,38.1894146341,38.6573414634,39.1368536585,39.6327317073,40.1482439024,40.6808292683,41.2281219512,41.7857560976,42.35,42.9167317073,43.479804878,44.0334878049,44.5724878049,45.086902439,45.5651463415,46.0100487805,46.4279268293,46.8292682927,47.2345853659,47.6689268293,48.1503414634,48.6883170732,49.2827804878,49.9346829268,50.6384634146,51.3690243902,52.0967317073,52.7934634146,53.42,53.9357073171,54.3270243902,54.5949756098,54.7500731707,54.8159512195,54.831804878,54.8423170732,54.8901463415,54.9987804878,55.1882439024,55.4664878049,55.8143170732,56.2080731707,56.6331707317,57.0669756098,57.4868780488,57.8738780488,58.216,58.5067560976,58.7466829268,58.944902439
Burkina Faso,BFA,34.477902439,34.9386341463,35.4058780488,35.8796585366,36.3589512195,36.8377560976,37.3090487805,37.7683170732,38.2165365854,38.6577317073,39.0968780488,39.5385121951,39.9951707317,40.4803414634,41.0065853659,41.6063902439,42.3132926829,43.1302439024,44.0397804878,45.0133902439,45.9975609756,46.9283170732,47.7496341463,48.422,48.9243658537,49.2512195122,49.4175365854,49.4722682927,49.462902439,49.4198780488,49.3656097561,49.3164634146,49.2779512195,49.2596585366,49.2777073171,49.3443170732,49.4692926829,49.6478292683,49.8760731707,50.1545609756,50.4827560976,50.8580731707,51.2727560976,51.7175609756,52.1827804878,52.6587073171,53.1396829268,53.6196829268,54.094195122,54.5576829268,55.0067560976,55.4404878049
Bangladesh,BGD,47.0245609756,47.608902439,48.2015609756,48.7763170732,49.2930487805,49.6497560976,49.7330487805,49.5096341463,49.0102195122,48.3108536585,47.5845121951,47.0506829268,46.8792439024,47.1661707317,47.9199512195,49.0616341463,50.4342439024,51.8248536585,53.067,54.0886829268,54.8689268293,55.443195122,55.9184878049,56.3812195122,56.8584146341,57.3630487805,57.8951219512,58.4331707317,58.9631463415,59.4875853659,60.0084878049,60.5318292683,61.0621463415,61.6004146341,62.1451707317,62.6938780488,63.2420731707,63.7837560976,64.3134390244,64.8265853659,65.3197317073,65.7903414634,66.239902439,66.6709268293,67.0859756098,67.4895609756,67.8872682927,68.2831463415,68.6807073171,69.0819268293,69.485804878,69.891804878
Bulgaria,BGR,69.2475609756,70.1956097561,69.4919512195,70.3092682927,71.1212195122,71.293902439,71.2234146341,70.413902439,71.2251219512,70.43,71.2563414634,70.8736585366,70.8995121951,71.342195122,71.2080487805,71.0497560976,71.3948780488,70.816097561,71.1846341463,71.3082926829,71.1575609756,71.5719512195,71.186097561,71.3863414634,71.4997560976,71.2280487805,71.7307317073,71.5268292683,71.6043902439,71.7224390244,71.6414634146,71.5609756098,71.4943902439,71.3468292683,71.2087804878,71.0534146341,70.8973170732,70.3512195122,71.0609756098,71.412195122,71.6634146341,71.7682926829,71.8658536585,72.0658536585,72.5634146341,72.5609756098,72.612195122,72.6634146341,72.9634146341,73.412195122,73.512195122,74.1634146341
Bahrain,BHR,52.0893658537,53.4585121951,54.8182682927,56.1465853659,57.4258780488,58.6400731707,59.7831219512,60.858,61.8697317073,62.8172926829,63.699195122,64.5174878049,65.2777073171,65.9864146341,66.6466097561,67.2638292683,67.8395609756,68.3777804878,68.8789756098,69.3456097561,69.7786585366,70.1765853659,70.5373658537,70.864,71.16,71.4278780488,71.6716829268,71.8959512195,72.1057073171,72.3079756098,72.5072439024,72.7095121951,72.9147317073,73.123902439,73.3375121951,73.5550731707,73.7730487805,73.987,74.1954146341,74.3958292683,74.5892439024,74.7767073171,74.9602195122,75.1407560976,75.318804878,75.4923170732,75.6607317073,75.823,75.9766097561,76.1240487805,76.2648536585,76.4020487805
"Bahamas, The",BHS,62.7290487805,63.0725121951,63.4080243902,63.7370487805,64.059097561,64.3746829268,64.6837804878,64.9873902439,65.2850243902,65.5766829268,65.8638536585,66.1455609756,66.4222682927,66.693,66.9587560976,67.2200243902,67.4763170732,67.7281219512,67.9749512195,68.2187804878,68.4586097561,68.6954146341,68.9296829268,69.1604634146,69.3872439024,69.6106097561,69.829097561,70.0427804878,70.2496585366,70.4477804878,70.6306585366,70.791804878,70.9296341463,71.0481463415,71.154804878,71.2625609756,71.3904390244,71.5498780488,71.7478780488,71.9843658537,72.2542926829,72.545097561,72.8412682927,73.1272926829,73.3946585366,73.6388780488,73.8589512195,74.0594634146,74.2474390244,74.423902439,74.5923902439,74.754902439
